depth	dens	GR	Vp	Vs
938.75	2.4711	84.3369	3187.4463	1566.4237
939	2.4507	67.6713	3307.1538	1663.5853
939.25	2.4426	56.0975	3374.2715	1760.7395
939.5	2.4158	54.2476	3405.8643	1872.0125
939.75	2.3978	57.4122	3472.4214	1970.0311
940	2.4083	58.2984	3554.3584	2023.4457
940.25	2.4495	71.3809	3641.22	2058.0515
940.5	2.4877	82.2574	3720.0737	2091.8809
940.75	2.505	80.8698	3778.2354	2120.0393
941	2.4872	78.0309	3817.4863	2199.551
941.25	2.4403	82.737	3788.2041	2173.2244
941.5	2.4015	85.7917	3683.9639	2138.6091
941.75	2.4122	82.8059	3583.292	2072.1748
942	2.4266	78.868	3533.9998	2012.8191
942.25	2.4322	79.2016	3529.5505	1970.7771
942.5	2.4247	81.3055	3545.9973	1962.7839
942.75	2.4353	93.6764	3568.2063	1895.9154
943	2.4579	107.1523	3601.6248	1949.7323
943.25	2.4466	102.7042	3604.1113	1899.1719
943.5	2.4466	94.2612	3622.4548	1958.9432
943.75	2.4472	91.1794	3651.377	1991.9272
944	2.4452	99.9767	3661.0063	2003.6918
944.25	2.4768	101.7906	3657.4851	1988.8092
944.5	2.49	93.2113	3674.7498	1994.1108
944.75	2.4847	91.7087	3694.7959	1980.8734
945	2.4752	92.5156	3698.0417	1997.4215
945.25	2.4682	97.4066	3712.1008	1956.5164
945.5	2.4602	100.8528	3728.1511	1946.658
945.75	2.43	98.6985	3716.2275	1908.2579
946	2.3826	98.9359	3540.4199	1852.4293
946.25	2.3719	99.7945	3452.0146	1796.4839
946.5	2.3622	100.9529	3341.0474	1716.2024
946.75	2.3589	101.4973	3268.9294	1677.4175
947	2.3685	97.6019	3246.1289	1649.7863
947.25	2.3808	97.7319	3253.2764	1640.4734
947.5	2.3937	99.4833	3272.7886	1663.4834
947.75	2.3972	96.5122	3297.843	1680.5403
948	2.4209	95.1859	3321.1738	1698.823
948.25	2.4369	97.4504	3316.6658	1717.3131
948.5	2.3954	93.8105	3260.3523	1714.3998
948.75	2.3653	98.3332	3189.3333	1710.7595
949	2.3515	98.2715	3159.0276	1738.7791
949.25	2.3242	94.4106	3153.5781	1661.0852
949.5	2.3592	94.5416	3198.2185	1609.4702
949.75	2.42	93.591	3283.3215	1634.2167
950	2.4537	98.218	3424.0784	1689.8447
950.25	2.4577	105.0767	3490.5039	1715.7402
950.5	2.4572	113.3714	3562.8318	1841.8606
950.75	2.4525	109.1204	3590.5945	1869.8744
951	2.4576	103.0566	3600.2942	1893.5879
951.25	2.4322	99.2326	3580.7803	1942.2046
951.5	2.4099	88.0955	3574.6584	1901.3334
951.75	2.4037	80.0186	3483.0947	1887.2123
952	2.4034	81.1984	3355.1284	1861.1969
952.25	2.422	90.4105	3262.0527	1843.8064
952.5	2.4213	94.0722	3199.1821	1755.1063
952.75	2.4018	92.3234	3169.907	1572.2935
953	2.4123	90.966	3169.3699	1551.704
953.25	2.4176	88.3821	3211.3767	1541.6598
953.5	2.4594	79.7922	3341.5269	1612.7198
953.75	2.5077	68.7218	3392.6716	1687.6423
954	2.4856	67.1344	3371.4517	1709.9834
954.25	2.454	76.3223	3334.1443	1687.1312
954.5	2.4516	83.5106	3314.0198	1656.0267
954.75	2.4308	85.9393	3273.3062	1622.4716
955	2.4152	89.2903	3251.1318	1610.1875
955.25	2.4107	88.1537	3258.2268	1614.3665
955.5	2.4047	84.5939	3312.4287	1617.5759
955.75	2.3966	83.8844	3370.1621	1667.6864
956	2.4035	78.1364	3401.3977	1703.7498
956.25	2.4014	79.8675	3424.241	1747.3812
956.5	2.3879	86.7065	3422.822	1777.3579
956.75	2.3686	88.7655	3405.1792	1803.1969
957	2.3487	92.8781	3379.6877	1809.6742
957.25	2.344	93.9168	3346.0354	1805.1776
957.5	2.3503	96.2457	3331.1133	1803.4092
957.75	2.3638	96.8653	3323.8892	1793.7849
958	2.3638	92.4204	3326.6841	1783.4257
958.25	2.3883	88.6129	3335.175	1809.5775
958.5	2.4242	89.8959	3337.343	1807.2384
958.75	2.4021	93.7041	3345.9824	1805.2927
959	2.3786	93.5413	3352.7551	1789.9904
959.25	2.3796	95.1255	3354.481	1791.0165
959.5	2.3662	97.3974	3360.6248	1802.7715
959.75	2.3755	97.685	3363.5439	1805.6531
960	2.3817	98.473	3372.324	1809.3331
960.25	2.3872	94.3661	3379.2397	1802.8307
960.5	2.3927	94.9827	3378.6882	1806.7816
960.75	2.3973	97.1077	3379.72	1803.1653
961	2.3989	97.0419	3384.1218	1813.6884
961.25	2.4044	92.7351	3385.1802	1820.9855
961.5	2.4131	92.7381	3383.9902	1815.2791
961.75	2.4259	102.3252	3386.7451	1817.001
962	2.4262	105.4627	3386.9314	1810.4061
962.25	2.3964	97.9046	3382.4653	1801.9415
962.5	2.3798	94.0316	3369.6399	1796.6541
962.75	2.3751	95.6802	3354.6794	1804.7632
963	2.3443	92.74	3337.5432	1808.6796
963.25	2.3214	86.3474	3305.2034	1802.6141
963.5	2.3206	84.2633	3292.1667	1788.4902
963.75	2.3327	80.3108	3295.6553	1784.6876
964	2.367	82.2487	3305.6636	1805.6603
964.25	2.387	89.5177	3327.8196	1815.7317
964.5	2.3783	90.0049	3335.4016	1817.746
964.75	2.347	86.5749	3324.3245	1825.6136
965	2.3109	85.0944	3299.1763	1838.9252
965.25	2.3232	77.9592	3265.9958	1840.0226
965.5	2.346	80.3756	3261.061	1824.5818
965.75	2.3732	87.4467	3274.146	1815.3184
966	2.4041	84.9257	3300.8945	1814.9698
